family_key,corpus,tier,family,parameters,mean_bpb,sample_sd_bpb,seed13_bpb,seed29_bpb,seed47_bpb,evaluation_mode
tiny_char_6,Tiny Shakespeare,6.5M,Character GPT,6525600,2.650571056458487,0.03730792925743123,2.6653615417015697,2.6081356548021595,2.678215972871732,full-context
tiny_atomic_6,Tiny Shakespeare,6.5M,Atomic Lexical,6469374,2.3204933617905774,0.02400170289460334,2.305153091654439,2.3081737788527934,2.3481532148645,full-context
tiny_flat_6,Tiny Shakespeare,6.5M,Flat ILM,6555064,2.150793189342367,0.007530588433179285,2.159404435995637,2.1475337903976626,2.1454413416338016,full-context
tiny_full_6,Tiny Shakespeare,6.5M,Full ILM,6631992,2.120122243725843,0.008608017250656403,2.1232315557650088,2.1267435949818143,2.110391580430705,full-context
tiny_char_15,Tiny Shakespeare,15.5M,Character GPT,15438192,2.5753111575156655,0.016032237530094254,2.568205441863232,2.5640598185037744,2.5936682121799897,full-context
tiny_atomic_15,Tiny Shakespeare,15.5M,Atomic Lexical,15537630,2.384028741233868,0.006053930583775616,2.377299841259655,2.3857526107243356,2.3890337717176133,full-context
tiny_flat_15,Tiny Shakespeare,15.5M,Flat ILM,15483532,2.140612957246882,0.009785565154269137,2.1359883715543373,2.1339968016967266,2.1518536984895826,full-context
tiny_full_15,Tiny Shakespeare,15.5M,Full ILM,15601932,2.1350764685161163,0.0020976559039449483,2.1326759233600896,2.136556379265276,2.1359971029229836,full-context
enwik_byte_6,enwik8,6.5M,Byte GPT,6567600,2.4796598924259783,0.016049421642989007,2.496670617072063,2.4775232325089016,2.46478582769697,block-reset
enwik_flat_6,enwik8,6.5M,Flat ILM,6561064,2.333130542966622,0.004498130879343618,2.3365112321518575,2.3348550756605735,2.3280253210874347,block-reset
enwik_full_6,enwik8,6.5M,Full ILM,6676456,2.235895090781016,0.006256224992713574,2.235785216922642,2.2422055290458984,2.2296945263745074,block-reset
enwik_byte_15,enwik8,15.5M,Byte GPT,15502872,2.3461880638487704,0.0065021819748687934,2.3413901344577535,2.3435857011601318,2.353588355928426,block-reset
enwik_flat_15,enwik8,15.5M,Flat ILM,15492772,2.292756840998465,0.009464135372702666,2.3008336700562593,2.2823432023455688,2.2950936505935666,block-reset
enwik_full_15,enwik8,15.5M,Full ILM,15670372,2.181543518526563,0.001983177642927456,2.1822952652699215,2.179294372300013,2.183040918009754,block-reset
