corpus,assignment_seed,model_seed,flat_bpb,exact_bpb,delta_bpb,report
Tiny Shakespeare,314159,13,2.159404435995637,2.2525562229993312,0.09315178700369442,experiments/evaluation/results/frequency_exact_flat_6m_seed13.test_metrics.json
Tiny Shakespeare,314159,29,2.1475337903976626,2.250824893365645,0.1032911029679826,experiments/evaluation/results/frequency_exact_flat_6m_seed29.test_metrics.json
Tiny Shakespeare,314159,47,2.1454413416338016,2.2557634658878114,0.11032212425400978,experiments/evaluation/results/frequency_exact_flat_6m_seed47.test_metrics.json
Tiny Shakespeare,271828,13,2.159404435995637,2.2579081995181474,0.09850376352251056,experiments/evaluation/results/frequency_2_exact_flat_6m_seed13.test_metrics.json
Tiny Shakespeare,271828,29,2.1475337903976626,2.243563296029496,0.09602950563183343,experiments/evaluation/results/frequency_2_exact_flat_6m_seed29.test_metrics.json
Tiny Shakespeare,271828,47,2.1454413416338016,2.254899233889305,0.10945789225550318,experiments/evaluation/results/frequency_2_exact_flat_6m_seed47.test_metrics.json
Tiny Shakespeare,161803,13,2.159404435995637,2.2698571582744065,0.11045272227876968,experiments/evaluation/results/frequency_3_exact_flat_6m_seed13.test_metrics.json
Tiny Shakespeare,161803,29,2.1475337903976626,2.2619342533632762,0.11440046296561368,experiments/evaluation/results/frequency_3_exact_flat_6m_seed29.test_metrics.json
Tiny Shakespeare,161803,47,2.1454413416338016,2.2667448321641466,0.12130349053034495,experiments/evaluation/results/frequency_3_exact_flat_6m_seed47.test_metrics.json
enwik8,314159,13,2.3365112321518575,2.4216735882375273,0.0851623560856698,experiments/evaluation/results/enwik8_lossless_s4_frequency_exact_flat_6m_seed13.test_metrics.json
enwik8,314159,29,2.3348550756605735,2.43224758821148,0.09739251255090631,experiments/evaluation/results/enwik8_lossless_s4_frequency_exact_flat_6m_seed29.test_metrics.json
enwik8,314159,47,2.3280253210874347,2.429661444590233,0.10163612350279827,experiments/evaluation/results/enwik8_lossless_s4_frequency_exact_flat_6m_seed47.test_metrics.json
enwik8,271828,13,2.3365112321518575,2.419240122883916,0.08272889073205869,experiments/evaluation/results/enwik8_lossless_s4_frequency_2_exact_flat_6m_seed13.test_metrics.json
enwik8,271828,29,2.3348550756605735,2.4334066004213946,0.09855152476082107,experiments/evaluation/results/enwik8_lossless_s4_frequency_2_exact_flat_6m_seed29.test_metrics.json
enwik8,271828,47,2.3280253210874347,2.431670794800103,0.10364547371266841,experiments/evaluation/results/enwik8_lossless_s4_frequency_2_exact_flat_6m_seed47.test_metrics.json
