corpus,assignment_seed,condition,moved_type_rate,train_moved_token_mass,test_moved_token_mass,train_max_role_tv,test_max_role_tv
Tiny Shakespeare,314159,Exact-frequency,0.979707252162342,0.30650325349061647,0.3076773061171423,0.0,0.049340180718975495
Tiny Shakespeare,314159,Unrestricted,0.9999334664005323,0.999995858064142,1.0,0.6528022267047172,0.6715855164792304
Tiny Shakespeare,271828,Exact-frequency,0.9812375249500997,0.3126788798548666,0.31122017811870245,0.0,0.05496327114347006
Tiny Shakespeare,271828,Unrestricted,0.9999334664005323,0.9999710064489942,0.9999349931742832,0.6745018286646813,0.6777936683351752
Tiny Shakespeare,161803,Exact-frequency,0.9817032601463739,0.3193846740089383,0.3221413248391081,0.0,0.04326204251446402
Tiny Shakespeare,161803,Unrestricted,0.9999334664005323,0.999995858064142,1.0,0.5497550044940004,0.565169342780992
enwik8,314159,Exact-frequency,0.9957707878566414,0.22813036158127215,0.22154354212498387,0.0,0.020679842416189944
enwik8,314159,Unrestricted,0.9999980767566424,0.9999999198118337,1.0,0.7412859118693561,0.7545862640063993
enwik8,271828,Exact-frequency,0.9957496321797079,0.24668618393176692,0.2419536567735564,0.0,0.021183619675284874
enwik8,271828,Unrestricted,0.9999961535132849,0.9999997995295842,1.0,0.7323485798836117,0.7453855501554503
enwik8,161803,Exact-frequency,0.9958631035378062,0.22870250414813384,0.2218789179206986,0.0,0.020885349286755582
enwik8,161803,Unrestricted,0.9999923070265696,0.9999998797177505,0.9999992864344772,0.7119831511832405,0.7227790808277075
