corpus,tier,parameters_m,family,seed,bpb
Tiny Shakespeare,6.5M,6.5,Flat ILM,13,2.159404435995637
Tiny Shakespeare,6.5M,6.5,Flat ILM,29,2.1475337903976626
Tiny Shakespeare,6.5M,6.5,Flat ILM,47,2.1454413416338016
Tiny Shakespeare,6.5M,6.5,Full ILM,13,2.1232315557650088
Tiny Shakespeare,6.5M,6.5,Full ILM,29,2.1267435949818143
Tiny Shakespeare,6.5M,6.5,Full ILM,47,2.110391580430705
Tiny Shakespeare,15.5M,15.5,Flat ILM,13,2.1359883715543373
Tiny Shakespeare,15.5M,15.5,Flat ILM,29,2.1339968016967266
Tiny Shakespeare,15.5M,15.5,Flat ILM,47,2.1518536984895826
Tiny Shakespeare,15.5M,15.5,Full ILM,13,2.1326759233600896
Tiny Shakespeare,15.5M,15.5,Full ILM,29,2.136556379265276
Tiny Shakespeare,15.5M,15.5,Full ILM,47,2.1359971029229836
enwik8,6.5M,6.5,Flat ILM,13,2.3365112321518575
enwik8,6.5M,6.5,Flat ILM,29,2.3348550756605735
enwik8,6.5M,6.5,Flat ILM,47,2.3280253210874347
enwik8,6.5M,6.5,Full ILM,13,2.235785216922642
enwik8,6.5M,6.5,Full ILM,29,2.2422055290458984
enwik8,6.5M,6.5,Full ILM,47,2.2296945263745074
enwik8,15.5M,15.5,Flat ILM,13,2.3008336700562593
enwik8,15.5M,15.5,Flat ILM,29,2.2823432023455688
enwik8,15.5M,15.5,Flat ILM,47,2.2950936505935666
enwik8,15.5M,15.5,Full ILM,13,2.1822952652699215
enwik8,15.5M,15.5,Full ILM,29,2.179294372300013
enwik8,15.5M,15.5,Full ILM,47,2.183040918009754
enwik8,100M,100.0,Flat ILM,13,2.210254702698808
enwik8,100M,100.0,Flat ILM,29,2.2119751372351493
enwik8,100M,100.0,Flat ILM,47,2.2078449786973966
enwik8,100M,100.0,Full ILM,13,2.114867043716642
enwik8,100M,100.0,Full ILM,29,2.1136485386452564
enwik8,100M,100.0,Full ILM,47,2.111770473562306
