corpus,tier,parameters_m,family,completed_seeds,mean_bpb,sample_sd_bpb
Tiny Shakespeare,6.5M,6.5,Flat ILM,3,2.150793189342367,0.007530588433179285
Tiny Shakespeare,6.5M,6.5,Full ILM,3,2.120122243725843,0.008608017250656403
Tiny Shakespeare,15.5M,15.5,Flat ILM,3,2.140612957246882,0.009785565154269137
Tiny Shakespeare,15.5M,15.5,Full ILM,3,2.1350764685161163,0.0020976559039449483
enwik8,6.5M,6.5,Flat ILM,3,2.333130542966622,0.004498130879343618
enwik8,6.5M,6.5,Full ILM,3,2.235895090781016,0.006256224992713574
enwik8,15.5M,15.5,Flat ILM,3,2.292756840998465,0.009464135372702666
enwik8,15.5M,15.5,Full ILM,3,2.181543518526563,0.001983177642927456
enwik8,100M,100.0,Flat ILM,3,2.2100249395437848,0.002074643515714817
enwik8,100M,100.0,Full ILM,3,2.1134286853080684,0.0015599481714421218
